coordinate	declared_license_names	license_urls	license_evidence_coordinate	pom_sha256	verified_artifacts
androidx.collection:collection-jvm:1.4.2	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.collection:collection-jvm:1.4.2	adbb379e2b160f08e63e341ad04bbcc7033f6d868ec51ac11e4334642a4e39ef	collection-jvm-1.4.2.jar | collection-jvm-1.4.2.module
androidx.collection:collection-jvm:1.5.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.collection:collection-jvm:1.5.0	11c415864d3402f61d426e67210158dce1b04680412526a994f1823ecd3cb388	collection-jvm-1.5.0.jar | collection-jvm-1.5.0.module
androidx.collection:collection-ktx:1.5.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.collection:collection-ktx:1.5.0	983f8d0630d072d5bfcd166a498ac7213f3a44a98c09051004ce96429d867cea	collection-ktx-1.5.0.jar | collection-ktx-1.5.0.module
androidx.compose:compose-bom:2026.03.01	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose:compose-bom:2026.03.01	e4261464f9a4e024994f9ab527a0a99251b4d24868f2d3518f1e2f4cf631d3dd	compose-bom-2026.03.01.pom
androidx.compose.animation:animation:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.animation:animation:1.10.6	224bc594620754490655776794cf71e2f625d0ff5117a5194b0e7ff2578fc17d	animation-1.10.6.module
androidx.compose.animation:animation-android:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.animation:animation-android:1.10.6	653d249c42db47a70fd8386c70cdc76e3dcb03953f3670cf4a9c7c1b98f4b258	animation-android-1.10.6.module | animation.aar
androidx.compose.animation:animation-core:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.animation:animation-core:1.10.6	0195b570e48eb47b3fa5239cb2d55efa4b309ec809ca541868f6fd63b1d3f53e	animation-core-1.10.6.module
androidx.compose.animation:animation-core-android:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.animation:animation-core-android:1.10.6	78ba33dbfe52db43c98e4623350f53ff4f5a96e9eeeda07e73a7ebf5e2aa7232	animation-core-android-1.10.6.module | animation-core.aar
androidx.compose.foundation:foundation:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.foundation:foundation:1.10.6	694ab510048fce813415799c2f4b3c3720806c93b3d24d9a449a9decb773d6fa	foundation-1.10.6.module
androidx.compose.foundation:foundation-android:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.foundation:foundation-android:1.10.6	96ef3e5ed775dffae422bfa8c71319598342a4e02bcdde9a4aa00736ff0e4fd4	foundation-android-1.10.6.module | foundation.aar
androidx.compose.foundation:foundation-layout:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.foundation:foundation-layout:1.10.6	f0b520c4e94fdd53fcbe5dce1360181e527a5b3bc9eabacce2adfd15b24a7192	foundation-layout-1.10.6.module
androidx.compose.foundation:foundation-layout-android:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.foundation:foundation-layout-android:1.10.6	d9fc40a6bd8587b1cc2ba1c57b464bf14bbae61a2526bd44c4a54823992464ca	foundation-layout-android-1.10.6.module | foundation-layout.aar
